Ångström bar experiment:
Date: 25-9-2024
Start time: 10:15:00
Time   ,Heater status  ,Temp P   ,Temp Q   
1042,1,27.6,30.6
1043,1,27.5,30.6
1044,1,27.6,30.6
1045,1,27.6,30.8
1046,1,27.6,30.7
1047,1,27.6,30.6
1048,1,27.6,30.7
1049,1,27.7,30.8
1050,1,27.7,30.8
1051,1,27.8,30.8
1052,1,27.7,31.0
1053,1,27.7,30.8
1054,1,27.7,30.9
1055,1,27.8,30.8
1056,1,27.7,30.9
1057,1,27.8,31.0
1058,1,27.8,30.9
1059,1,27.8,31.1
1060,1,27.8,31.1
1061,1,27.8,31.1
1062,1,27.8,31.1
1063,1,27.8,31.1
1064,1,27.8,31.2
1065,1,27.8,31.3
1066,1,27.8,31.3
1067,1,27.9,31.2
1068,1,27.9,31.2
1069,1,28.0,31.2
1070,1,27.8,31.3
1071,1,27.8,31.3
1072,1,28.0,31.3
1073,1,27.8,31.2
1074,1,28.0,31.3
1075,1,28.0,31.3
1076,1,27.8,31.5
1077,1,27.9,31.4
1078,1,28.0,31.4
1079,1,28.0,31.3
1080,1,27.9,31.4
1081,1,27.9,31.5
1082,1,28.0,31.5
1083,1,28.0,31.5
1084,1,28.1,31.5
1085,1,28.0,31.5
1086,1,28.0,31.5
1087,1,28.0,31.5
1088,1,28.1,31.5
1089,1,28.0,31.5
1090,1,28.0,31.5
1091,1,28.1,31.6
1092,1,28.1,31.5
1093,1,28.0,31.7
1094,1,28.1,31.7
1095,1,28.1,31.6
1096,1,28.1,31.5
1097,1,28.1,31.7
1098,1,28.0,31.6
1099,1,28.1,31.6
1100,1,28.1,31.7
1101,1,28.1,31.8
1102,1,28.1,31.9
1103,1,28.2,31.8
1104,1,28.3,31.7
1105,1,28.3,31.8
1106,1,28.1,31.8
1107,1,28.2,31.7
1108,1,28.1,31.7
1109,1,28.1,31.8
1110,1,28.1,31.8
1111,1,28.3,32.0
1112,1,28.3,31.9
1113,1,28.3,32.0
1114,1,28.2,31.7
1115,1,28.3,31.9
1116,1,28.3,32.0
1117,1,28.2,32.0
1118,1,28.3,32.0
1119,1,28.5,32.0
1120,1,28.4,32.0
1121,1,28.3,32.0
1122,1,28.3,32.1
1123,1,28.4,32.2
1124,1,28.3,32.2
1125,1,28.3,32.2
1126,1,28.4,32.1
1127,1,28.5,32.1
1128,1,28.4,32.3
1129,1,28.5,32.2
1130,1,28.3,32.3
1131,1,28.5,32.2
1132,1,28.5,32.2
1133,1,28.5,32.2
1134,1,28.5,32.3
1135,1,28.5,32.3
1136,1,28.6,32.3
1137,1,28.6,32.3
1138,1,28.6,32.3
1139,1,28.6,32.3
1140,1,28.5,32.5
1141,1,28.6,32.5
