Ångström bar experiment:
Date: 17-10-2024
Start time: 13:57:41
Time   ,Heater status  ,Temp P   ,Temp Q   
567,0,21.2,21.1
568,0,21.2,21.2
569,0,21.3,21.3
569,0,21.3,21.1
570,0,21.3,21.2
571,0,21.3,21.1
572,0,21.3,21.2
573,0,21.3,21.1
574,0,21.3,21.2
576,0,21.3,21.1
577,0,21.2,21.1
577,0,21.3,21.1
578,0,21.3,21.1
579,0,21.3,21.1
580,0,21.3,21.1
581,0,21.2,21.1
582,0,21.2,21.3
583,0,21.3,21.1
584,0,21.3,21.2
585,0,21.3,21.1
586,0,21.3,21.2
587,0,21.2,21.0
588,0,21.2,21.1
589,0,21.2,21.1
590,0,21.2,21.1
591,0,21.2,21.1
592,0,21.3,21.1
593,0,21.3,21.1
594,0,21.3,21.1
595,0,21.3,21.3
596,0,21.3,21.1
597,0,21.3,21.1
598,0,21.3,21.0
599,0,21.1,21.1
600,0,21.2,21.3
602,0,21.2,21.1
602,0,21.3,21.2
603,0,21.2,21.2
604,0,21.3,21.1
605,0,21.3,21.2
606,0,21.3,21.1
607,0,21.3,21.1
608,0,21.3,21.3
609,0,21.3,21.1
610,0,21.3,21.1
611,0,21.3,21.3
612,0,21.3,21.2
613,0,21.3,21.1
614,0,21.3,21.1
615,0,21.3,21.1
616,0,21.2,21.2
617,0,21.3,21.3
618,0,21.3,21.2
619,0,21.3,21.1
620,0,21.3,21.3
621,0,21.3,21.3
622,0,21.4,21.1
623,0,21.3,21.1
624,0,21.3,21.3
625,0,21.3,21.1
626,0,21.3,21.1
627,0,21.3,21.2
628,0,21.3,21.1
629,0,21.3,21.2
630,0,21.3,21.2
631,0,21.4,21.1
632,0,21.3,21.0
633,0,21.3,21.2
634,0,21.3,21.1
635,0,21.3,21.1
636,0,21.3,21.1
637,0,21.3,21.2
638,0,21.3,21.1
639,0,21.3,21.2
640,0,21.3,21.1
641,0,21.2,21.3
642,0,21.2,21.1
643,0,21.1,21.1
644,0,21.3,21.1
645,0,21.3,21.1
646,0,21.3,21.2
648,0,21.3,21.1
648,0,21.3,21.1
649,0,21.2,21.2
650,0,21.4,21.1
651,0,21.3,21.1
652,0,21.3,21.2
653,0,21.3,21.1
654,0,21.3,21.2
655,0,21.3,21.1
656,0,21.3,21.1
657,0,21.3,21.1
658,0,21.3,21.3
659,0,21.3,21.1
660,0,21.3,21.3
661,0,21.3,21.2
662,0,21.3,21.3
663,0,21.3,21.2
664,0,21.3,21.1
665,0,21.3,21.1
666,0,21.4,21.1
667,0,21.2,21.3
668,0,21.4,21.2
669,0,21.2,21.3
670,0,21.3,21.1
671,0,21.2,21.3
672,0,21.2,21.1
673,0,21.3,21.2
674,0,21.3,21.1
675,0,21.3,21.1
676,0,21.3,21.1
677,0,21.2,21.1
678,0,21.3,21.1
679,0,21.3,21.3
680,0,21.3,21.2
681,0,21.3,21.1
682,0,21.3,21.3
683,0,21.3,21.2
684,0,21.3,21.2
685,0,21.3,21.1
686,0,21.2,21.1
687,0,21.3,21.1
688,0,21.3,21.1
689,0,21.3,21.2
690,0,21.3,21.0
691,0,21.2,21.2
692,0,21.3,21.2
693,0,21.3,21.2
694,0,21.2,21.1
695,0,21.2,21.1
696,0,21.3,21.2
697,0,21.3,21.2
698,0,21.2,21.1
699,0,21.3,21.1
700,0,21.3,21.1
701,0,21.3,21.1
702,0,21.3,21.1
703,0,21.3,21.3
704,0,21.3,21.3
705,0,21.2,21.1
706,0,21.4,21.1
707,0,21.3,21.1
708,0,21.3,21.3
709,0,21.3,21.1
710,0,21.3,21.2
711,0,21.3,21.2
712,0,21.3,21.1
713,0,21.3,21.2
714,0,21.3,21.1
715,0,21.3,21.3
716,0,21.4,21.1
717,0,21.3,21.1
718,0,21.3,21.1
719,0,21.3,21.2
720,0,21.3,21.2
721,0,21.3,21.1
722,0,21.3,21.1
723,0,21.3,21.2
724,0,21.3,21.3
725,0,21.3,21.1
726,0,21.3,21.3
727,0,21.3,21.2
728,0,21.3,21.2
729,0,21.2,21.3
730,0,21.3,21.3
731,0,21.3,21.2
732,0,21.3,21.1
733,0,21.3,21.0
734,0,21.3,21.1
735,0,21.3,21.2
736,0,21.3,21.2
737,0,21.3,21.2
738,0,21.2,21.1
739,0,21.3,21.3
740,0,21.3,21.1
741,0,21.3,21.1
742,0,21.2,21.1
743,0,21.3,21.1
744,0,21.3,21.1
745,0,21.2,21.1
746,0,21.3,21.1
747,0,21.3,21.1
748,0,21.3,21.1
749,0,21.2,21.1
750,0,21.3,21.1
751,0,21.3,21.1
752,0,21.3,21.2
753,0,21.3,21.2
754,0,21.3,21.1
755,0,21.3,21.1
756,0,21.3,21.1
757,0,21.3,21.1
758,0,21.4,21.1
759,0,21.3,21.2
760,0,21.3,21.2
761,0,21.3,21.1
762,0,21.3,21.2
763,0,21.3,21.1
764,0,21.3,21.1
765,0,21.3,21.2
766,0,21.3,21.3
767,0,21.3,21.3
768,0,21.3,21.3
769,0,21.3,21.1
770,0,21.2,21.2
771,0,21.3,21.1
772,0,21.3,21.1
773,0,21.2,21.2
774,0,21.3,21.1
775,0,21.3,21.1
776,0,21.3,21.3
777,0,21.3,21.2
778,0,21.3,21.3
779,0,21.3,21.3
780,0,21.3,21.1
781,0,21.3,21.1
782,0,21.3,21.2
783,0,21.3,21.2
784,0,21.3,21.3
785,0,21.3,21.2
786,0,21.3,21.3
787,0,21.3,21.2
789,0,21.3,21.1
789,0,21.3,21.2
790,0,21.3,21.1
791,0,21.3,21.3
792,0,21.2,21.1
793,0,21.3,21.1
794,0,21.2,21.1
795,0,21.2,21.1
796,0,21.3,21.1
797,0,21.3,21.3
798,0,21.3,21.1
799,0,21.3,21.1
801,0,21.2,21.1
801,0,21.3,21.1
802,0,21.3,21.1
